Identifier, Italiano, English
Errore, Errore, Error
Lavatrice, Lavatrice, Washing machine
Essicatoio, Essicatoio, Drying machine
Self, Self, Self
Laboratorio, Laboratorio, Laboratory
Disabilitato, Disabilitato, Disabled
Abilitato, Abilitato, Enabled
ItalianoCSV, Italiano, Italian
Inglese, Inglese, English
Nessuno, Nessuno, Nothing
Ms, MS, MS
Rotondi, Rotondi, Rotondi
Lavenda, Lavenda, Lavenda
Schultess, Schultess, Schultess
Hoover, Hoover, Hoover
NuovaConfigurazione, Nuova configurazione, New configuration
Valore, Valore, Value
Conferma, Conferma, Confirm
Indietro, Indietro, Back
Cicli, Cicli, Cycles
NuovoProgramma, Nuovo programma, New program
InserisciIp, Inserisci indirizzo IP, Insert IP address
NuovaConfigurazioneCreata, Nuova configurazione creata, New configuration created
ConfigurazioneSalvata, Configurazione salvata, Configuration saved
ConfigurazioneCaricata, Configurazione caricata, Configuration loaded
ConfigurazioneNonValida, Configurazione non valida, Invalid configuration
CaricaConfigurazione, Carica configurazione, Load configuration
SalvaConfigurazione, Salva configurazione, Save configuration
NuovaConfigurazione, Nuova configurazione, New configuration
ConnessioneLocale, Connessione locale, Local connection
ConnessioneRemota, Connessione remota, Remote connection
ParametriMacchina, Parametri macchina, Machine parameters
ControlloRemoto, Controllo remoto, Remote control
Lingua, Lingua, Language
LingueSelezionabiliDaFrontale, Lingue selezionabili da frontale, Available languages
Logo, Logo, Logo
CodiceNodoMacchina, Codice nodo macchina, Machine node code
ModelloMacchina, Modello macchina, Machine model
SottomodelloMacchina, Sottomodello macchina, Machine submodel
LivelloDiAccesso, Livello di accesso, Access level
InterfacciaDaFermo, Interfaccia da fermo, Interface while stopped
InterfacciaInFunzionamento, Interfaccia in funzionamento, Interface while working
NumeroMassimoDiProgrammi, Numero massimo di programmi, Max number of programs
NumeroMassimoDiProgrammiUtente, Numero massimo di programmi utente, Max number of user programs
VisualizzazioneKg, Visualizzazione Kg, Kg visualization
PrezzoMacchina, Prezzo macchina, Machine price
MenuParametri, Menu parametri, Parameters menu
MenuSaponi, Menu saponi, Detergents menu
MostraTotaleCicli, Mostra totale cicli, Show total cycles
LavaggioProgrammato, Lavaggio programmato, Programmable cycle
Cancella, Cancella, Cancel
MoltoSporchiConPrelavaggio, Molto sporchi con prelavaggio, Very dirty with prewash
MoltoSporchi, Molto sporchi, Very dirty
MedioSporchiConPrelavaggio, Medio sporchi con prelavaggio, Average dirty with prewash
MedioSporchi, Medio sporchi, Average dirty
Colorati, Colorati, Colored
Sintetici, Sintetici, Synthetic
Piumoni, Piumoni, Duvets
DelicatiAFreddo, Delicati a freddo, Cold for delicates
Lana,Lana, Wool
LinoETendaggi, Lino e tendaggi, Linen and curtains
SoloCentrifuga1000Giri, Solo centrifuga (1000 giri), Centrifuge only (1000 rpm)
SoloCentrifuga600Giri, Solo centrifuga (600 giri), Centrifuge only (600 rpm)
Sanificazione, Sanificazione, Sanification
Ammollo, Ammollo, Soaking
PrelavaggioConCentrifuga, Prelavaggio con centrifuga, Prewash with centrifuge
RisciacquoConCentrifuga, Risciacquo con centrifuga, Flushing with centrifuge
AbilitazionePagamento, Abilitazione pagamento, Enable Payment
GettonieraNA, 1 gettoniera NA, 1 coin acceptor NO
GettonieraNC, 1 gettoniera NC, 1 coin acceptor NC
GettoniereNA, 2 gettoniere NA, 2 coin acceptors NO
GettoniereNC, 2 gettoniere NC, 2 coin acceptors NC
GettonieraDigitale, Gettoniera digitale, Digital coin acceptor
GettonieraLineaSingola, Gettoniera a linea singola, Single line coin acceptor
CassaNA, Cassa NA, Cash desk NO
CassaNC, Cassa NC, Cash desk NC
ValoreImpulso, Valore impulso, Pulse value
ValorePrezzoUnico, Valore prezzo unico, Global price value
PrezzoUnico, Prezzo unico, Global price
CifrePrezzo, Cifre prezzo, Price digits
CifreDecimaliPrezzo, Cifre decimali prezzo, Decimal price digits
ValoreSottoIlMinimoConsentito, Valore al di sotto del minimo consentito, Value below the allowed limit
ValoreSopraIlMassimoConsentito, Valore al di sopra del massimo consentito, Value above the allowed limit
ValoreNonNumerico, Valore non numerico, Not a number
Prezzo, Prezzo, Price
Rimuovi, Rimuovi, Remove
RimuovereIlLavaggio, Rimuovere il lavaggio?, Remove the wash cycle?
Ammollo, Ammollo, Soaking
Prelavaggio, Prelavaggio, Prewash
Lavaggio, Lavaggio, Washing
Risciacquo, Risciacquo, Flushing
Scarico, Scarico, Drain
Centrifuga, Centrifuga, Centrifuge
Srotolamento, Srotolamento, Unrolling
AttesaOperatore, Attesa operatore, Waiting for operator
Delicato, Delicato, Gentle
Energetico, Energetico, Energetic
Durata, Durata, Duration
TempoAttivo, Tempo attivo, Active time
Subito, Subito, Immediately
DopoLivello, Dopo il livello, After the level
DopoTemperatura, Dopo la temperatura, After the temperature
DopoLivelloETemperatura, Dopo il livello e la temperatura, After both the level and the temperature
ConVelocitaRiempimento, Con la velocita' di riempimento, With filling speed
RimuovereIlPasso, Rimuovere il passo?, Remove the step?G
MotoCestoInRiempimento, Moto del cesto in riempimento, Motion while filling up
VelocitaInRiempimento, Velocita' in riempimento, Speed while filling up
InversioneInRiempimento, Inversione in riempimento, Reverse running during fillup
ModoVisualizzazionePrezzo, Modo di visualizzaizone del prezzo, Display price type
PrezzoERimanente, Prezzo e rimanente, Price and remaining
PrezzoECredito, Prezzo e credito, Price and credit
RimanenteECredito, Rimanente e credito, Remaining and credit
TipoDiPagamento, Tipo di pagamento, Payment type
InserireGettone, Inserire gettone, Insert token
InserireMoneta, Inserire moneta, Insert coin
PagamentoCassa, Pagamento cassa, Pay at the desk
PagamentoImporto, Pagamento importo, Pay the required amount
NuovoPasso, Nuovo passo, New step
Posizione, Posizione, Position
TempoDiMotoInRiempimento, Tempo di moto in riempimento, Rotation time while filling
TempoDiPausaInRiempimento, Tempo di pausa in riempimento, Pause time while filling
VelocitaInLavaggio, Velocita' in lavaggio, Speed during wash
InversioneInLavaggio, Inversione in lavaggio, Inversion during wash
TempoDiMotoAlLavoro, Tempo di moto al lavoro, Rotation time while working
TempoDiPausaAlLavoro, Tempo di pausa al lavoro, Pause time while working
Temperatura, Temperatura, Temperature
Riscaldamento, Riscaldamento, Heating
TipoDiRiscaldamento, Tipo di riscaldamento, Heating type
Diretto, Diretto, Direct
Indiretto, Indiretto, Indirect
ControlloDellaTemperaturaContinuo, Controllo della temperatura continuo, Continuous temperature control
Livello, Livello, level
Ricircolo, Ricircolo, Recycling
AcquaFredda, Acqua fredda, Cold water
AcquaCalda, Acqua calda, Warm water
AcquaDepurata, Acqua depurata, Purified water
TempoAttivoSapone, Tempo attivo sapone, Detergent active time
TempoSapone1, Tempo sapone 1, Detergent 1 time
RitardoSapone1, Ritardo sapone 1, Detergent 1 delay
TempoSapone2, Tempo sapone 2, Detergent 2 time
RitardoSapone2, Ritardo sapone 2, Detergent 2 delay
TempoSapone3, Tempo sapone 3, Detergent 3 time
RitardoSapone3, Ritardo sapone 3, Detergent 3 delay
TempoSapone4, Tempo sapone 4, Detergent 4 time
RitardoSapone4, Ritardo sapone 4, Detergent 4 delay
TempoSapone5, Tempo sapone 5, Detergent 5 time
RitardoSapone5, Ritardo sapone 5, Detergent 5 delay
TempoSapone6, Tempo sapone 6, Detergent 6 time
RitardoSapone6, Ritardo sapone 6, Detergent 6 delay
TempoSapone7, Tempo sapone 7, Detergent 7 time
RitardoSapone7, Ritardo sapone 7, Detergent 7 delay
TempoSapone8, Tempo sapone 8, Detergent 8 time
RitardoSapone8, Ritardo sapone 8, Detergent 8 delay
TempoSapone9, Tempo sapone 9, Detergent 9 time
RitardoSapone9, Ritardo sapone 9, Detergent 9 delay
TempoSapone10, Tempo sapone 10, Detergent 10 time
RitardoSapone10, Ritardo sapone 10, Detergent 10 delay
MotoCesto, Moto cesto, Basket motion
Recupero, Recupero, Recovery
TempoDiPreparazione, Tempo di preparazione, Preparation Time
TempoDiScarico, Tempo di scarico, Drain time
VelocitaDellaCentrifuga1, Velocita' della centrifuga 1, Centrifuge 1 speed
TempoDellaRampa1, Tempo della rampa 1, Ramp 1 time
TempoDiAttesaDellaCentrifuga1, Tempo di attesa della centrifuga 1, Centrifuge 1 wait time
VelocitaDellaCentrifuga2, Velocita' della centrifuga 2, Centrifuge 2 speed
TempoDellaRampa2, Tempo della rampa 2, Ramp 2 time
TempoDiAttesaDellaCentrifuga2, Tempo di attesa della centrifuga 2, Centrifuge 2 wait time
VelocitaDellaCentrifuga3, Velocita' della centrifuga 3, Centrifuge 3 speed
TempoDellaRampa3, Tempo della rampa 3, Ramp 3 time
TempoDiFrenata, Tempo di frenata, Brake time
VelocitaDiPreparazione, Velocita' di preparazione, Preparation speed
TempoDiAttesa, Tempo di attesa, Wait time
NumeroDiRampe, Numero di rampe, Ramp count
SbloccoGettoniera, Sblocco gettoniera, Coin acceptor unlocking
TempoDiAccettazioneDelTastoPausa, Tempo di accettazione del tasto pausa, Seconds of press delay for the pause button
TempoDiAccettazioneDelTastoStop, Tempo di accettazione del tasto stop, Seconds of press delay for the stop button
TempoDiAllarmeNoRiempimento, Tempo di allarme "no riempimento", "No fillup" alarm time
TempoDiAllarmeNoRiscaldamento, Tempo di allarme "no riscaldamento, "No heating" alarm time
TempoDiAllarmeNoScarico, Tempo di allarme "no scarico", "No drain" alarm time
TempoDiAttesaDelMicroDelChiavistello, Tempo di attesa del micro del chiavistello, Porthole micro switch delay time
TempoDiPrecarica, Tempo di precarica, Preload time
TempoPuliziaSaponi, Tempo di pulizia saponi, Detergents cleaning time
TempoTastoDiRabboccoSaponi, Tempo tasto di rabbocco saponi, Detergent erogation button time
TempoDiScaricoServizio, Tempo di scarico servizio, Service drain time
TempoDellImpulsoDiAperturaDelloScarico, Tempo dell'impulso di apertura dello scarico, Drain opening pulse time
TempoMinimoDiScarico, Tempo minimo di scarico, Minimum drain time
TempoMinimoDiFrenata, Tempo minimo di frenata, Minimum brake time
DiametroDelCesto, Diametro del cesto, Basket diameter
ProfonditaDelCesto, Profondita' del cesto, Basket depth
AltezzaTrappola, Altezza trappola, Trap height
